Customer_ID,Customer_Name,Customer_Phone,Customer_Addresss,Customer_Brithday,Customer_Occupation,Customer_Gender,Username,Password
11014,Sydney B,431-535-015*,7011 Tank Drive,08-05-1972,Labour,M  ,NULL,NULL
11012,Lauren W,717-535-016*,785 Scott Street,07-01-1972,Labour,F  ,NULL,NULL
11011,Curtis L,1 (11) 543 535-011*,224 Shoenic,14-11-1967,Labour,M  ,NULL,NULL
11016,Wyatt H,135-535-017*,666 Northridge Ct.,07-04-1983,Labour,M  ,NULL,NULL
11059,Ashlee A,1 (11) 543 535-011*,255 Highland Road,11-04-1958,Labour,F  ,NULL,NULL
11017,Shannon W,1 (11) 543 535-019*,330 Saddlehill Lane,26-06-1948,Labour,M  ,NULL,NULL
11055,Gilbert R,1 (11) 543 535-012*,811 The Trees Dr.,15-03-1956,Labour,F  ,NULL,NULL
11056,Michele N,1 (11) 543 535-017*,464 Janin Pl.,13-04-1957,Labour,M  ,NULL,NULL
11052,Heidi L,1 (11) 543 535-016*,514 Via Cordona,17-08-1955,Labour,F  ,NULL,NULL
11018,Clarence R,1 (11) 543 535-013*,44 Rivewview,19-10-1948,Labour,F  ,NULL,NULL
11015,Chloe Y,208-535-014*,44 Willow Pass Road,27-02-1983,Labour,F  ,NULL,NULL
11051,Daniel J,1 (11) 543 535-015*,85 Sunnyvale Avenue,14-08-1955,Labour,F  ,NULL,NULL
11019,Luke L,262-535-011*,832 Landing Dr,17-03-1982,Labour,M  ,NULL,NULL
11057,Carl A,1 (11) 543 535-018*,930 Lake Nadine Place,22-10-1957,Labour,F  ,NULL,NULL
11013,Ian J,817-535-018*,902 Hudson Ave.,16-08-1972,Labour,M  ,NULL,NULL
11053,Ana P,859-535-011*,660 Stonyhill Circle,20-08-1984,Labour,M  ,NULL,NULL
11050,Alan Z,1 (11) 543 535-013*,741 Gainborough Dr.,17-09-1955,Labour,F  ,NULL,NULL
11054,Deanna M,1 (11) 543 535-019*,825 B Way,20-03-1956,Labour,M  ,NULL,NULL
11010,Jacquelyn S,1 (11) 543 535-016*,800 Corrinne Court,16-02-1968,Labour,M  ,NULL,NULL
11058,Marc D,1 (11) 543 535-014*,645 Sinaloa,27-04-1958,Labour,F  ,NULL,NULL
11352,Raymond R,1 (11) 543 535-013*,4 impasse Ste-Madeleine,17-03-1944,Retiree,F  ,NULL,NULL
